site_area,water_consumption,recycling_rate,utilisation_rate,air_quality_index,issue_resolution_time,resident_count,structure_type_Industrial,structure_type_Mixed-use,structure_type_Residential,resident_group_low,resident_group_medium,resident_group_none,water_consumption_log
3529,4322.0,12,88,97,48,0,False,False,False,False,False,True,8.371704884667631
1446,1304.0,44,44,16,43,42,False,False,True,True,False,False,7.173958319756794
4082,6526.0,74,37,174,68,122,False,True,False,False,True,False,8.783702698635217
3956,5296.0,52,58,143,2,0,False,False,False,False,False,True,8.574895901544526
4335,9360.0,83,47,33,53,123,False,True,False,False,True,False,9.144307401371744
4955,6611.0,22,60,159,62,0,False,False,False,False,False,True,8.796641458940915
1567,2915.0,52,55,34,71,88,False,True,False,False,True,False,7.977968093128549
3222,5276.0,48,81,198,58,178,False,True,False,False,False,False,8.571113033405668
1600,1891.0,39,63,167,33,111,False,False,True,False,True,False,7.545389749611823
1052,1000.0,35,43,5,67,0,True,False,False,False,False,True,6.90875477931522
4321,4813.0,85,70,6,45,0,False,False,False,False,False,True,8.479283618343016
3980,7061.0,46,76,199,58,0,False,False,False,False,False,True,8.862483576488332
2666,4225.0,74,88,30,17,0,False,False,False,False,False,True,8.349011198176003
2073,3466.0,36,42,77,42,30,False,False,True,True,False,False,8.151044945685024
2431,3302.0,39,68,28,45,32,False,False,True,True,False,False,8.10258642539079
3467,4802.0,86,44,80,30,184,False,False,True,False,False,False,8.476996001664824
3863,6119.0,85,74,92,68,180,False,False,True,False,False,False,8.719317375506371
3401,2225.0,44,33,92,22,0,False,False,False,False,False,True,7.70796153183549
2927,2067.0,10,96,92,33,208,False,True,False,False,False,False,7.63433723562832
4080,6800.0,12,32,83,1,0,False,False,False,False,False,True,8.824824939175638
819,1053.0,64,50,114,71,45,False,False,True,True,False,False,6.960347729101308
653,1000.0,18,79,184,24,0,False,False,False,False,False,True,6.90875477931522
1504,1061.0,44,32,4,57,21,False,True,False,True,False,False,6.967909201801884
4993,6325.0,20,31,177,30,484,False,True,False,False,False,False,8.752423403865594
4023,2117.0,41,68,144,68,0,False,False,False,False,False,True,7.658227526161352
4732,7807.0,69,78,55,27,357,False,True,False,False,False,False,8.962904128092928
1128,2253.0,85,49,4,36,66,False,False,True,False,True,False,7.720461694599722
1227,1000.0,67,32,41,63,38,False,True,False,True,False,False,6.90875477931522
2670,4930.0,27,99,167,30,0,True,False,False,False,False,True,8.503297086224126
4854,9427.0,67,96,18,42,0,False,False,False,False,False,True,9.15143926405602
882,1000.0,47,86,87,19,0,False,False,False,False,False,True,6.90875477931522
733,1000.0,28,92,40,22,0,False,False,False,False,False,True,6.90875477931522
1935,2088.0,51,77,55,64,0,False,False,False,False,False,True,7.644440761556566
3407,5116.0,20,76,11,14,0,True,False,False,False,False,True,8.540323608805092
3952,7671.0,24,53,198,34,0,False,False,False,False,False,True,8.945332616563274
3286,6701.0,60,42,13,34,0,False,False,False,False,False,True,8.810161268297255
4010,4207.0,43,85,73,46,0,True,False,False,False,False,True,8.344742754417545
3402,5767.0,58,69,159,48,0,False,False,False,False,False,True,8.660080678964786
1662,1036.0,22,54,71,17,97,False,True,False,False,True,False,6.944087208229528
3723,2434.0,39,73,50,62,186,False,False,True,False,False,False,7.79770203551669
4992,6387.0,12,98,8,48,86,False,True,False,False,True,False,8.762176509334903
1664,2730.0,52,31,179,18,0,True,False,False,False,False,True,7.912423121473705
4060,1929.0,10,100,56,64,0,False,False,False,False,False,True,7.5652752818989315
1269,1137.0,89,92,185,47,14,False,False,True,True,False,False,7.037027614686276
4474,9388.0,29,44,156,62,256,False,True,False,False,False,False,9.147294070258548
1172,1452.0,75,37,80,45,0,True,False,False,False,False,True,7.281385663570282
4642,7015.0,23,30,17,30,0,False,False,False,False,False,True,8.855948534052018
3286,6338.0,38,91,165,55,0,False,False,False,False,False,True,8.754476306284166
4329,4003.0,31,94,160,54,182,False,False,True,False,False,False,8.295049140435111
2649,4069.0,27,94,10,39,172,False,False,True,False,False,False,8.311398278436641
1548,2487.0,44,39,106,55,0,False,False,False,False,False,True,7.81923445385907
2546,3080.0,74,61,53,32,162,False,False,True,False,False,False,8.033009498596668
2962,3355.0,47,60,21,48,0,False,False,False,False,False,True,8.118505067587098
4252,8018.0,49,73,76,41,185,False,True,False,False,False,False,8.989569004807029
1305,1516.0,42,92,58,54,11,False,True,False,True,False,False,7.324489979348532
852,2278.0,75,88,123,7,11,False,True,False,True,False,False,7.731492029245684
684,1000.0,45,65,20,14,40,False,False,True,True,False,False,6.90875477931522
3168,3575.0,24,43,143,48,13,False,False,True,True,False,False,8.182000136293405
2929,1169.0,39,88,179,65,140,False,False,True,False,True,False,7.064759027791802
4361,5829.0,15,81,88,40,0,True,False,False,False,False,True,8.670772279344538
1593,2718.0,71,36,128,22,126,False,False,True,False,True,False,7.908019444632471
1119,1206.0,69,82,96,33,58,False,False,True,False,True,False,7.095893221097532
4516,4411.0,14,44,103,47,0,False,False,False,False,False,True,8.392083380373393
2284,2087.0,30,40,189,48,0,True,False,False,False,False,True,7.643961949002529
3293,1999.0,74,58,135,66,15,False,True,False,True,False,False,7.600902459542082
4834,6055.0,82,91,169,31,462,False,False,True,False,False,False,8.708804795117285
4185,4207.0,90,47,74,16,0,False,False,False,False,False,True,8.344742754417545
2982,3868.0,26,41,118,57,234,False,False,True,False,False,False,8.260751354700513
1884,2324.0,29,49,28,19,0,False,False,False,False,False,True,7.751475318021456
798,1000.0,31,53,30,1,36,False,True,False,True,False,False,6.90875477931522
1472,2174.0,35,81,120,44,0,True,False,False,False,False,True,7.684783943522785
3864,5459.0,76,79,77,58,0,False,False,False,False,False,True,8.605204068738951
831,1000.0,13,55,25,62,19,False,True,False,True,False,False,6.90875477931522
3285,2226.0,27,38,185,13,214,False,False,True,False,False,False,7.708410667257367
4073,2031.0,13,98,75,34,40,False,False,True,True,False,False,7.616775808698373
2564,5137.0,13,99,160,21,0,False,False,False,False,False,True,8.544419177669829
3037,2487.0,48,84,43,8,0,False,False,False,False,False,True,7.81923445385907
2576,3110.0,84,50,18,10,234,False,False,True,False,False,False,8.042699496897637
3268,6124.0,18,66,84,51,264,False,False,True,False,False,False,8.720134035412928
1069,1000.0,79,94,74,31,30,False,False,True,True,False,False,6.90875477931522
1515,1781.0,56,88,96,48,75,False,False,True,False,True,False,7.485491608030754
3091,2516.0,32,38,181,56,0,False,False,False,False,False,True,7.830822995135316
2695,4726.0,54,71,183,13,0,False,False,False,False,False,True,8.461046030793236
3641,3495.0,20,31,72,1,276,False,True,False,False,False,False,8.159374736775426
2931,3592.0,80,59,177,19,209,False,False,True,False,False,False,8.186742787113518
1604,1159.0,42,71,9,47,110,False,True,False,False,True,False,7.05617528410041
4889,9238.0,84,57,74,29,0,False,False,False,False,False,True,9.131188933670746
4152,8046.0,86,65,156,41,401,False,False,True,False,False,False,8.993054630146133
1936,1279.0,35,77,100,59,75,False,False,True,False,True,False,7.154615356913663
2760,3957.0,20,51,155,53,0,False,False,False,False,False,True,8.28349412616251
4307,2783.0,82,87,112,71,306,False,False,True,False,False,False,7.931644021454311
4374,2350.0,76,55,177,46,0,False,False,False,False,False,True,7.762596048540069
3472,5682.0,56,66,141,16,115,False,False,True,False,True,False,8.645234541297121
1309,1112.0,57,65,158,23,0,False,False,False,False,False,True,7.014814351275545
4678,9311.0,84,42,47,6,345,False,True,False,False,False,False,9.13905916997122
3972,6863.0,83,81,33,47,231,False,False,True,False,False,False,8.834045641167798
1589,1830.0,55,89,55,4,0,False,False,False,False,False,True,7.5126175446745105
1327,2390.0,10,64,48,59,0,False,False,False,False,False,True,7.779466967458324
4299,6927.0,30,60,16,65,226,False,False,True,False,False,False,8.843326450242271
1812,1900.0,58,79,7,32,28,False,False,True,True,False,False,7.550135342488429
994,1022.0,54,36,86,33,67,False,False,True,False,True,False,6.930494765951626
513,1000.0,77,59,79,50,18,False,False,True,True,False,False,6.90875477931522
2908,1451.0,30,77,101,46,79,False,True,False,False,True,False,7.280697195384741
1343,2213.0,26,81,64,30,0,True,False,False,False,False,True,7.7025561132685825
4159,4763.0,59,65,113,1,0,False,False,False,False,False,True,8.46884293047519
2697,4894.0,56,70,134,70,186,False,True,False,False,False,False,8.49596955496461
4694,2765.0,14,82,47,3,115,False,False,True,False,True,False,7.925157512224703
1058,1897.0,36,89,19,57,0,False,False,False,False,False,True,7.5485559791698735
1019,1062.0,49,45,82,53,0,False,False,False,False,False,True,6.968850378341948
1214,2276.0,77,51,74,64,76,False,False,True,False,True,False,7.7306140660637395
1921,1000.0,85,40,55,48,91,False,True,False,False,True,False,6.90875477931522
2956,4607.0,79,46,0,57,164,False,False,True,False,False,False,8.435549202375727
4258,2703.0,40,56,130,33,96,False,False,True,False,True,False,7.902487437162855
3907,4240.0,21,79,66,7,274,False,False,True,False,False,False,8.352554369474591
1669,1000.0,85,32,154,50,164,False,True,False,False,False,False,6.90875477931522
4399,5622.0,20,46,158,62,172,False,True,False,False,False,False,8.634620608292202
4345,7777.0,43,83,172,70,0,False,False,False,False,False,True,8.959054514715692
2082,1515.0,47,42,136,56,112,False,True,False,False,True,False,7.323830566202317
1957,2437.0,83,70,143,5,0,False,False,False,False,False,True,7.798933310041217
2547,3903.0,42,36,113,72,253,False,False,True,False,False,False,8.269756947532983
4874,6432.0,80,88,78,50,0,False,False,False,False,False,True,8.769196271411001
4733,3809.0,11,34,144,46,0,False,False,False,False,False,True,8.245384468120747
3230,4351.0,85,32,92,30,245,False,False,True,False,False,False,8.378390788535778
1261,2027.0,64,58,159,27,27,False,False,True,True,False,False,7.614805364711073
4525,3982.0,68,77,85,24,399,False,False,True,False,False,False,8.289790583181643
4247,5002.0,71,52,130,49,90,False,False,True,False,True,False,8.517793011488205
2659,2048.0,89,40,114,40,183,False,True,False,False,False,False,7.6251071482389
961,1000.0,79,69,23,30,0,False,False,False,False,False,True,6.90875477931522
1069,1983.0,89,84,102,31,0,True,False,False,False,False,True,7.592870287844818
1297,1000.0,68,37,94,23,107,False,True,False,False,True,False,6.90875477931522
2292,2474.0,72,45,19,62,0,False,False,False,False,False,True,7.813995675002791
3505,2259.0,42,54,169,29,40,False,True,False,True,False,False,7.723120092266331
3604,7288.0,79,55,44,68,0,False,False,False,False,False,True,8.894121641382213
4096,7353.0,55,92,102,27,337,False,False,True,False,False,False,8.902999661861218
4309,6105.0,44,98,33,19,287,False,True,False,False,False,False,8.717027173294824
2691,5357.0,67,84,129,16,0,False,False,False,False,False,True,8.586346050104554
1663,1528.0,82,51,86,15,83,False,False,True,False,True,False,7.332369205929062
4432,6535.0,49,33,142,16,133,False,False,True,False,True,False,8.785080636539838
2010,1000.0,46,87,200,57,0,False,False,False,False,False,True,6.90875477931522
1219,1592.0,30,54,33,3,0,False,False,False,False,False,True,7.373374309910049
1684,3641.0,15,50,77,36,99,False,False,True,False,True,False,8.200288260287554
518,1000.0,26,59,30,56,22,False,False,True,True,False,False,6.90875477931522
600,1174.0,13,40,173,6,0,False,False,False,False,False,True,7.069023426578259
4650,5013.0,10,41,171,57,0,False,False,False,False,False,True,8.519989278718239
2949,2688.0,32,74,190,32,0,True,False,False,False,False,True,7.896924656268864
2789,1900.0,40,65,15,6,14,False,True,False,True,False,False,7.550135342488429
2259,2380.0,87,42,44,36,117,False,False,True,False,True,False,7.7752758464868625
1082,1000.0,49,70,131,54,74,False,False,True,False,True,False,6.90875477931522
4632,8461.0,72,41,100,37,0,False,False,False,False,False,True,9.043340831280013
4177,4183.0,76,52,182,39,288,False,False,True,False,False,False,8.339023005744759
3868,3427.0,69,38,145,43,154,False,True,False,False,False,False,8.13973227971767
4187,5851.0,84,77,128,12,212,False,False,True,False,False,False,8.674538762140015
2334,2152.0,10,53,3,51,42,False,False,True,True,False,False,7.674617497364363
3424,5589.0,59,49,150,28,150,False,True,False,False,True,False,8.628734566149145
4789,5621.0,63,31,51,36,0,False,False,False,False,False,True,8.634442751466477
1408,1000.0,42,78,167,53,0,False,False,False,False,False,True,6.90875477931522
3739,2735.0,10,91,26,33,0,True,False,False,False,False,True,7.914252278742441
4310,3510.0,15,33,14,65,323,False,True,False,False,False,False,8.163656176168432
3101,2138.0,48,55,3,40,209,False,False,True,False,False,False,7.668093709082406
515,1319.0,53,85,20,2,33,False,False,True,True,False,False,7.1853870155804165
2573,2517.0,83,74,86,55,0,False,False,False,False,False,True,7.831220214604293
3279,5625.0,29,70,185,9,202,False,False,True,False,False,False,8.635153989049803
891,1000.0,16,59,134,62,0,False,False,False,False,False,True,6.90875477931522
1190,1122.0,37,72,125,29,63,False,True,False,False,True,False,7.023758954738443
2768,2305.0,23,97,105,5,0,False,False,False,False,False,True,7.743269700829004
1424,2635.0,88,63,124,45,0,False,False,False,False,False,True,7.877017895622398
3267,2512.0,78,98,10,63,0,False,False,False,False,False,True,7.829232537543592
4509,6094.0,14,33,54,29,0,True,False,False,False,False,True,8.715224041915372
4798,5479.0,81,47,75,35,95,False,False,True,False,True,False,8.608860379942062
4509,6011.0,62,96,122,15,13,False,False,True,True,False,False,8.701512750872865
1968,1058.0,66,59,120,17,101,False,False,True,False,True,False,6.965080345601407
3839,2993.0,36,45,4,1,150,False,False,True,False,True,False,8.004365564979574
2381,2639.0,48,40,168,10,0,False,False,False,False,False,True,7.878534196140362
4088,6165.0,84,30,84,6,0,True,False,False,False,False,True,8.726805608446096
518,1321.0,16,93,140,63,47,False,False,True,True,False,False,7.186901020411631
2772,4670.0,87,45,87,17,0,False,False,False,False,False,True,8.449128460502108
4202,7384.0,29,31,17,45,0,True,False,False,False,False,True,8.90720619496548
3583,3204.0,46,48,166,5,94,False,False,True,False,True,False,8.07246736935477
4084,2694.0,44,98,97,24,58,False,True,False,False,True,False,7.899153483343097
2642,1026.0,37,40,94,6,0,False,False,False,False,False,True,6.934397209928558
712,1713.0,55,70,112,21,0,True,False,False,False,False,True,7.446585099157725
4232,2419.0,76,62,72,25,49,False,True,False,True,False,False,7.791522819150732
3208,3782.0,44,95,14,8,0,False,False,False,False,False,True,8.23827262463303
4537,8400.0,49,43,65,24,311,False,True,False,False,False,False,9.036106025364846
1152,1000.0,63,31,127,17,0,False,False,False,False,False,True,6.90875477931522
4520,3889.0,76,31,199,71,233,False,False,True,False,False,False,8.266164436612492
1184,1167.0,43,30,190,51,56,False,True,False,False,True,False,7.0630481633881725
847,1032.0,28,92,9,65,65,False,True,False,False,True,False,6.940222469119639
1860,3182.0,12,43,193,37,111,False,True,False,False,True,False,8.065579427282092
4534,7294.0,62,87,188,69,0,False,False,False,False,False,True,8.894944460956886
3544,2208.0,40,60,185,30,0,False,False,False,False,False,True,7.700295203420117
2850,5265.0,15,42,131,54,215,False,False,True,False,False,False,8.569026340056254
2455,3925.0,17,57,137,47,74,False,False,True,False,True,False,8.275376374836407
2246,1607.0,69,80,117,27,80,False,False,True,False,True,False,7.382746449738912
4768,3989.0,35,90,73,58,0,True,False,False,False,False,True,8.29154650988391
3675,5120.0,53,72,65,63,0,False,False,False,False,False,True,8.54110501146255
625,1000.0,90,64,137,51,29,False,False,True,True,False,False,6.90875477931522
4821,6339.0,35,86,11,58,231,False,False,True,False,False,False,8.754634047431272
2182,2765.0,13,53,183,4,0,False,False,False,False,False,True,7.925157512224703
3824,2538.0,28,77,108,23,0,False,False,False,False,False,True,7.839525581704678
4469,1850.0,58,44,187,3,0,False,False,False,False,False,True,7.523481312573497
2796,4539.0,37,47,138,46,0,False,False,False,False,False,True,8.420682291035394
1065,1000.0,60,43,136,64,28,False,False,True,True,False,False,6.90875477931522
3867,2454.0,14,49,101,13,0,False,False,False,False,False,True,7.805882040228621
1829,2090.0,19,62,83,46,0,False,False,False,False,False,True,7.645397699428633
4145,7788.0,63,96,86,9,398,False,True,False,False,False,False,8.960467760919949
1145,1449.0,13,47,50,12,0,True,False,False,False,False,True,7.27931883541462
3186,3627.0,48,87,136,20,0,False,False,False,False,False,True,8.196436811235028
3681,6114.0,85,60,194,51,154,False,False,True,False,False,False,8.718500048121273
4021,4622.0,11,81,192,14,238,False,False,True,False,False,False,8.438799123988225
2616,2923.0,68,53,20,41,140,False,True,False,False,True,False,7.980707820869669
2537,4099.0,18,92,28,36,77,False,False,True,False,True,False,8.318742252692399
1306,1000.0,49,100,61,3,0,False,False,False,False,False,True,6.90875477931522
904,1000.0,14,64,89,40,53,False,False,True,False,True,False,6.90875477931522
1466,1840.0,84,83,105,35,0,False,False,False,False,False,True,7.518064181233078
1354,1098.0,63,36,199,30,93,False,True,False,False,True,False,7.002155954403621
3677,2091.0,73,36,53,48,0,True,False,False,False,False,True,7.645875825184813
1758,1446.0,27,84,7,15,158,False,False,True,False,False,False,7.277247726631484
2473,5284.0,60,79,29,55,218,False,False,True,False,False,False,8.572627898304338
2887,2907.0,22,71,124,20,11,False,False,True,True,False,False,7.97522083865341
3983,5867.0,31,89,86,49,32,False,True,False,True,False,False,8.677269139262872
2281,2159.0,88,59,50,17,181,False,True,False,False,False,False,7.67786350067821
4423,8848.0,14,51,74,71,0,False,False,False,False,False,True,9.08805973726735
2800,5189.0,69,47,15,59,0,False,False,False,False,False,True,8.554488976159934
4563,3120.0,86,44,20,44,13,False,False,True,True,False,False,8.045908742270779
3223,5062.0,75,38,4,61,80,False,True,False,False,True,False,8.529714471969909
4257,8377.0,45,71,67,51,419,False,False,True,False,False,False,9.03336450150698
501,1561.0,56,91,24,5,30,False,False,True,True,False,False,7.353722330399631
3068,4826.0,39,93,30,24,197,False,False,True,False,False,False,8.481980435660493
4498,7550.0,28,30,149,62,193,False,False,True,False,False,False,8.929435283803425
505,1000.0,22,43,104,70,13,False,False,True,True,False,False,6.90875477931522
2675,3521.0,36,86,126,57,53,False,False,True,False,True,False,8.166784289056151
963,1742.0,73,92,19,33,0,False,False,False,False,False,True,7.463363045520021
1369,1660.0,42,98,76,65,0,False,False,False,False,False,True,7.415175109613295
4013,5248.0,59,39,34,11,185,False,True,False,False,False,False,8.5657928612523
3182,4348.0,67,84,157,44,106,False,True,False,False,True,False,8.37770121259764
2253,2121.0,72,30,190,47,82,False,True,False,False,True,False,7.660114319173928
3897,7461.0,21,75,125,23,377,False,False,True,False,False,False,8.917578753781104
1946,2868.0,27,92,182,45,0,False,False,False,False,False,True,7.961718815981363
2602,4789.0,35,74,4,34,42,False,True,False,True,False,False,8.474285690404962
4985,10155.0,34,66,12,18,0,True,False,False,False,False,True,9.225819942824568
3461,6621.0,68,75,4,23,70,False,False,True,False,True,False,8.798152718107191
2328,1597.0,46,47,84,57,39,False,True,False,True,False,False,7.37650812632622
1887,2534.0,19,55,118,36,136,False,True,False,False,True,False,7.837948916025283
1475,1000.0,39,47,189,68,0,True,False,False,False,False,True,6.90875477931522
1132,1000.0,43,92,153,20,0,False,False,False,False,False,True,6.90875477931522
4762,3819.0,62,64,154,14,0,False,False,False,False,False,True,8.24800570160062
2924,1769.0,56,92,54,44,11,False,False,True,True,False,False,7.478734825567875
1036,1000.0,35,97,72,33,0,True,False,False,False,False,True,6.90875477931522
2209,1000.0,80,31,135,47,84,False,True,False,False,True,False,6.90875477931522
1973,3439.0,42,40,24,25,112,False,True,False,False,True,False,8.143226750367445
3391,4730.0,84,71,145,24,37,False,False,True,True,False,False,8.461891875631148
2236,3018.0,24,47,168,7,62,False,True,False,False,True,False,8.012680929706839
2550,4013.0,11,50,108,69,250,False,False,True,False,False,False,8.297543529356284
2658,5334.0,20,63,93,16,116,False,True,False,False,True,False,8.582044163735853
2085,3862.0,47,39,176,5,0,False,False,False,False,False,True,8.259199362666282
1755,1725.0,28,59,148,65,65,False,False,True,False,True,False,7.453561871643373
4508,4537.0,72,44,68,1,360,False,True,False,False,False,False,8.420241665339788
4211,5130.0,77,41,10,9,0,False,False,False,False,False,True,8.543055850941965
1474,2888.0,61,99,12,15,25,False,False,True,True,False,False,7.968665700466235
4165,2935.0,33,95,111,34,0,True,False,False,False,False,True,7.984803389734406
2672,4100.0,35,33,43,47,20,False,False,True,True,False,False,8.31898612539206
1949,2826.0,24,54,142,71,183,False,True,False,False,False,False,7.946971357693591
2055,1542.0,14,81,199,59,0,False,False,False,False,False,True,7.341483852363161
4890,4657.0,66,36,162,59,311,False,False,True,False,False,False,8.446341450444287
1325,2838.0,49,69,137,35,18,False,False,True,True,False,False,7.951207156472972
2408,3518.0,23,34,54,34,0,True,False,False,False,False,True,8.165932137321585
2540,4728.0,89,85,34,7,187,False,False,True,False,False,False,8.461469042643875
1270,1089.0,54,97,148,19,70,False,True,False,False,True,False,6.993932975223189
543,1000.0,37,35,92,71,49,False,True,False,True,False,False,6.90875477931522
629,1000.0,39,37,56,55,10,False,True,False,True,False,False,6.90875477931522
2981,2474.0,69,62,169,11,0,False,False,False,False,False,True,7.813995675002791
3450,4492.0,29,94,84,4,220,False,False,True,False,False,False,8.41027590907016
2410,3937.0,80,55,126,71,110,False,False,True,False,True,False,8.278428259199071
1468,1679.0,58,67,64,43,0,False,False,False,False,False,True,7.426549072397305
2103,1493.0,84,68,117,37,0,False,False,False,False,False,True,7.309212365692763
1453,2099.0,24,65,155,37,48,False,True,False,True,False,False,7.649692623711514
4476,8673.0,88,76,107,37,0,False,False,False,False,False,True,9.068085324395312
1426,2470.0,10,66,32,36,0,False,False,False,False,False,True,7.81237820598861
3391,4075.0,22,64,101,58,0,False,False,False,False,False,True,8.312871394342615
1284,1571.0,12,73,192,14,0,False,False,False,False,False,True,7.360103972989152
4784,7694.0,85,74,82,10,0,True,False,False,False,False,True,8.94832604627298
1308,3228.0,71,37,59,5,0,False,False,False,False,False,True,8.079927770758275
1171,1898.0,90,38,69,16,37,False,False,True,True,False,False,7.549082710812286
3165,6002.0,39,53,183,18,113,False,False,True,False,True,False,8.700014623251842
3974,3648.0,24,89,188,64,260,False,False,True,False,False,False,8.202208436436448
4336,3237.0,42,100,5,33,226,False,False,True,False,False,False,8.08271113423758
4297,8217.0,78,37,92,50,70,False,False,True,False,True,False,9.014082149443356
1027,1000.0,18,51,73,30,57,False,False,True,False,True,False,6.90875477931522
4167,3601.0,75,49,108,7,174,False,True,False,False,False,False,8.189244525735901
4072,3787.0,75,67,142,20,149,False,True,False,False,True,False,8.239593454305968
4688,7499.0,48,89,114,63,280,False,False,True,False,False,False,8.922658299524402
1626,1496.0,62,78,33,62,0,False,False,False,False,False,True,7.311218384419629
2152,4791.0,64,42,13,48,0,False,False,False,False,False,True,8.474703139795285
1095,1907.0,56,64,122,35,0,True,False,False,False,False,True,7.553810852008231
1319,1960.0,63,86,69,44,89,False,True,False,False,True,False,7.581209826196346
3024,2536.0,77,87,81,17,196,False,False,True,False,False,False,7.838737559599282
2928,2363.0,54,79,5,70,0,True,False,False,False,False,True,7.768110378525988
3077,3481.0,58,60,164,19,209,False,False,True,False,False,False,8.155362120328135
1529,1336.0,58,53,95,63,0,True,False,False,False,False,True,7.198183577101943
3979,2216.0,75,33,22,10,112,False,True,False,False,True,False,7.703910209616311
2886,3371.0,45,86,138,44,0,False,False,False,False,False,True,8.123261319121745
1110,1266.0,20,41,105,51,51,False,True,False,False,True,False,7.144407180321139
4399,3532.0,90,82,121,21,0,False,False,False,False,False,True,8.169902647359145
2602,5367.0,10,44,169,1,0,False,False,False,False,False,True,8.588210678651517
871,1308.0,39,56,9,20,0,True,False,False,False,False,True,7.1770187659099
2960,4688.0,76,68,106,34,143,False,False,True,False,True,False,8.452974619089586
2157,1258.0,37,49,56,72,45,False,False,True,True,False,False,7.138073034044347
4469,5083.0,80,52,17,58,0,False,False,False,False,False,True,8.533853632309345
3903,5407.0,69,94,10,56,0,False,False,False,False,False,True,8.5956346177228
890,1000.0,23,72,73,13,0,False,False,False,False,False,True,6.90875477931522
3233,1115.0,29,66,119,66,138,False,True,False,False,True,False,7.017506142941256
