site_area,water_consumption,recycling_rate,utilisation_rate,air_quality_index,issue_resolution_time,resident_count,electricity_cost,structure_type_Industrial,structure_type_Mixed-use,structure_type_Residential,resident_group_low,resident_group_medium,resident_group_none,water_consumption_log
2257,4727.0,36,86,191,57,134,3067.0,False,False,True,False,True,False,8.461257559085935
2178,3756.0,54,94,35,53,0,2727.0,False,False,False,False,False,True,8.231376045573969
3742,6825.0,66,46,104,59,343,3107.0,False,True,False,False,False,False,8.828494129466652
1559,2223.0,31,92,147,61,76,2261.0,False,True,False,False,True,False,7.707062655370473
2222,3799.0,43,43,103,55,211,1700.0,False,True,False,False,False,False,8.242756345714477
3814,4847.0,18,67,177,20,207,3973.0,False,False,True,False,False,False,8.48632152774915
3657,1988.0,59,54,11,3,0,3555.0,True,False,False,False,False,True,7.5953872788539725
3125,4209.0,63,66,134,65,44,2289.0,False,True,False,True,False,False,8.345217926676428
3229,5886.0,67,85,167,37,0,4110.0,True,False,False,False,False,True,8.68050180902826
2097,4271.0,71,36,41,35,185,2903.0,False,False,True,False,False,False,8.35983738064003
3560,4777.0,47,40,92,16,0,3380.0,True,False,False,False,False,True,8.471777327885755
3193,2755.0,36,64,85,4,285,2504.0,False,True,False,False,False,False,7.9215356321335495
4127,6270.0,73,65,66,3,122,3085.0,False,True,False,False,True,False,8.74369111054302
1863,3453.0,12,99,177,17,65,2381.0,False,False,True,False,True,False,8.147288258706624
2481,2163.0,20,81,168,44,117,2440.0,False,True,False,False,True,False,7.679713639966372
2163,2190.0,33,98,151,63,0,3606.0,True,False,False,False,False,True,7.692113339595466
2029,2078.0,38,71,196,42,0,2371.0,False,False,False,False,False,True,7.639642287858013
2538,2044.0,78,100,12,17,0,2811.0,False,False,False,False,False,True,7.623153068476902
3802,1000.0,17,44,117,24,0,3792.0,True,False,False,False,False,True,6.90875477931522
2737,2959.0,28,50,161,37,0,2522.0,False,False,False,False,False,True,7.992944547318106
1806,2543.0,77,30,102,2,0,1702.0,False,False,False,False,False,True,7.841492924460013
4529,2512.0,78,97,130,14,0,4180.0,False,False,False,False,False,True,7.829232537543592
3175,3033.0,57,40,95,10,0,3334.0,True,False,False,False,False,True,8.017637159908478
1782,2930.0,49,39,200,15,12,1446.0,False,False,True,True,False,False,7.983098940710892
1209,2622.0,76,74,130,37,0,1649.0,False,False,False,False,False,True,7.872073979866873
4913,10470.0,25,85,151,58,0,4870.0,False,False,False,False,False,True,9.256364810287462
4248,4042.0,73,48,34,46,333,3096.0,False,True,False,False,False,False,8.304742269640771
1163,2727.0,17,71,19,53,0,1483.0,False,False,False,False,False,True,7.911324018963353
2498,1447.0,14,70,104,56,0,3625.0,True,False,False,False,False,True,7.277938572945661
3945,6161.0,81,49,171,13,0,4383.0,True,False,False,False,False,True,8.726156679156613
4243,6592.0,34,56,75,35,404,4792.0,False,False,True,False,False,False,8.7937637591133
1995,1626.0,62,41,47,36,0,1806.0,False,False,False,False,False,True,7.394493107219038
3804,5156.0,58,93,42,34,71,3151.0,False,False,True,False,True,False,8.548110294050959
4263,2464.0,81,67,80,24,370,4911.0,False,False,True,False,False,False,7.80994708647679
2353,3936.0,30,95,67,53,0,3159.0,False,False,False,False,False,True,8.278174290943738
1791,2329.0,60,87,199,27,0,2994.0,True,False,False,False,False,True,7.753623546559746
4081,6616.0,55,40,198,12,70,3083.0,False,True,False,False,True,False,8.797397374012059
3957,2903.0,18,59,182,15,195,3828.0,False,False,True,False,False,False,7.973844375944687
2136,1000.0,73,93,153,3,130,2902.0,False,False,True,False,True,False,6.90875477931522
4196,8242.0,86,77,158,28,0,4227.0,False,False,False,False,False,True,9.017119634313227
3499,5718.0,32,69,181,9,0,3505.0,False,False,False,False,False,True,8.651549243915316
3652,6979.0,69,97,183,39,38,3590.0,False,False,True,True,False,False,8.850804195756417
1198,1299.0,68,50,55,30,47,1152.0,False,True,False,True,False,False,7.170119543449628
2660,1748.0,17,34,126,57,0,3177.0,True,False,False,False,False,True,7.466799475018602
4597,6187.0,73,65,52,23,0,4113.0,False,False,False,False,False,True,8.730367211692958
1354,1098.0,63,36,199,30,93,1302.0,False,True,False,False,True,False,7.002155954403621
3974,3648.0,24,89,188,64,260,4416.0,False,False,True,False,False,False,8.202208436436448
2207,4306.0,61,85,33,16,97,1842.0,False,True,False,False,True,False,8.36799688505411
3277,2960.0,60,60,45,36,0,3148.0,False,False,False,False,False,True,7.993282328101591
2233,1284.0,13,54,83,30,96,1928.0,False,False,True,False,True,False,7.158513997329321
4010,4207.0,43,85,73,46,0,5209.0,True,False,False,False,False,True,8.344742754417545
702,1000.0,33,63,49,20,0,1132.0,False,False,False,False,False,True,6.90875477931522
3755,5723.0,30,73,196,56,287,3058.0,False,True,False,False,False,False,8.652423140676342
4718,6321.0,11,36,10,37,306,4571.0,False,False,True,False,False,False,8.751790892775563
4996,6806.0,16,80,114,62,221,4936.0,False,False,True,False,False,False,8.825706773447951
1266,1887.0,65,54,85,65,119,2038.0,False,False,True,False,True,False,7.543273346705446
4889,9238.0,84,57,74,29,0,4297.0,False,False,False,False,False,True,9.131188933670746
2827,5046.0,85,71,145,43,0,2504.0,False,False,False,False,False,True,8.526549286340263
3431,5258.0,77,56,158,36,328,4032.0,False,False,True,False,False,False,8.567696173589344
697,1000.0,44,66,61,17,0,1121.0,False,False,False,False,False,True,6.90875477931522
2430,3104.0,35,84,22,54,0,2836.0,False,False,False,False,False,True,8.040768994367578
4082,5882.0,27,67,103,17,134,3100.0,False,True,False,False,True,False,8.679822114864455
1108,1741.0,73,85,180,32,0,1944.0,False,False,False,False,False,True,7.462789157412448
3772,7663.0,65,63,61,16,0,4015.0,True,False,False,False,False,True,8.944289319650697
1647,2238.0,89,58,73,51,0,1716.0,False,False,False,False,False,True,7.713784616598755
4782,2490.0,64,77,16,59,0,4216.0,False,False,False,False,False,True,7.820439515262181
3897,7461.0,21,75,125,23,377,5349.0,False,False,True,False,False,False,8.917578753781104
3011,3143.0,46,66,40,16,187,3808.0,False,False,True,False,False,False,8.053251153549096
2294,4287.0,61,32,108,32,114,2039.0,False,False,True,False,True,False,8.363575702750637
1159,1000.0,28,79,7,66,0,1977.0,False,False,False,False,False,True,6.90875477931522
3311,3578.0,24,50,158,70,251,3802.0,False,False,True,False,False,False,8.182838710766026
1869,1587.0,61,77,48,62,117,2567.0,False,False,True,False,True,False,7.370230641807081
2486,1588.0,86,87,111,30,110,1957.0,False,True,False,False,True,False,7.370860166536716
646,1000.0,35,60,184,36,55,1648.0,False,False,True,False,True,False,6.90875477931522
3719,7743.0,54,36,175,6,264,3528.0,False,False,True,False,False,False,8.954673628956414
3411,1958.0,30,86,180,45,294,4020.0,False,False,True,False,False,False,7.580189417944541
2234,1000.0,90,65,189,33,76,1834.0,False,True,False,False,True,False,6.90875477931522
2343,2088.0,62,53,105,5,112,2248.0,False,False,True,False,True,False,7.644440761556566
988,1000.0,38,53,177,56,0,1439.0,False,False,False,False,False,True,6.90875477931522
3476,6971.0,57,85,54,28,0,3521.0,False,False,False,False,False,True,8.849657406639912
2459,2148.0,28,90,136,7,0,2711.0,False,False,False,False,False,True,7.67275789664251
2885,1000.0,63,99,31,59,0,3093.0,False,False,False,False,False,True,6.90875477931522
3419,6406.0,87,57,86,19,230,2549.0,False,True,False,False,False,False,8.765146421639022
2302,3992.0,11,61,95,62,89,2596.0,False,False,True,False,True,False,8.292298107063221
4561,3112.0,41,74,56,43,159,4223.0,False,False,True,False,False,False,8.043342170441608
3869,6661.0,71,98,99,50,350,4925.0,False,False,True,False,False,False,8.804175018753625
762,1000.0,16,97,4,53,18,1853.0,False,False,True,True,False,False,6.90875477931522
1123,2486.0,77,47,118,38,96,1704.0,False,False,True,False,True,False,7.818832443803404
1516,2107.0,31,31,111,17,137,2169.0,False,False,True,False,True,False,7.653494909661253
4143,7459.0,38,32,192,27,0,3637.0,False,False,False,False,False,True,8.917310693197807
2549,1470.0,12,58,177,37,0,2415.0,False,False,False,False,False,True,7.293697720601438
4223,4114.0,31,77,94,7,210,4183.0,False,False,True,False,False,False,8.32239411311117
3608,3343.0,62,94,62,38,301,3469.0,False,True,False,False,False,False,8.114922974204593
4590,6081.0,66,71,185,29,248,4361.0,False,False,True,False,False,False,8.71308886823731
2556,4054.0,19,35,184,51,237,3326.0,False,False,True,False,False,False,8.307705966549513
3670,4522.0,49,88,114,15,0,3749.0,False,False,False,False,False,True,8.416930769477844
2182,1000.0,29,48,136,16,14,1843.0,False,False,True,True,False,False,6.90875477931522
2755,3751.0,20,81,98,11,227,3320.0,False,False,True,False,False,False,8.230044310126114
1654,1615.0,17,90,25,33,0,2291.0,False,False,False,False,False,True,7.38770923908104
4999,9158.0,45,31,190,20,0,5071.0,True,False,False,False,False,True,9.122492281402987
3691,5386.0,34,52,193,29,13,2459.0,False,True,False,True,False,False,8.591743922680534
2196,3522.0,48,48,33,16,33,1946.0,False,False,True,True,False,False,8.167068178341237
4491,7384.0,71,99,80,17,434,3559.0,False,True,False,False,False,False,8.90720619496548
2148,3419.0,30,79,5,57,116,2051.0,False,True,False,False,True,False,8.13739583005665
1945,2953.0,28,90,61,37,0,2477.0,False,False,False,False,False,True,7.9909154630913255
4699,3696.0,34,48,94,18,279,3281.0,False,True,False,False,False,False,8.215276958936633
4423,8848.0,14,51,74,71,0,4305.0,False,False,False,False,False,True,9.08805973726735
753,1776.0,21,32,168,49,21,843.0,False,False,True,True,False,False,7.482681828154651
3683,6481.0,34,34,53,11,0,3356.0,False,False,False,False,False,True,8.776784383701493
3057,6495.0,14,96,163,57,0,3597.0,False,False,False,False,False,True,8.778941881841513
598,1279.0,85,89,90,19,0,1247.0,False,False,False,False,False,True,7.154615356913663
2700,4086.0,36,68,83,70,0,2672.0,False,False,False,False,False,True,8.315566483564277
3461,6986.0,13,57,112,53,0,4283.0,True,False,False,False,False,True,8.85180655855245
4933,3642.0,54,30,83,10,0,4472.0,True,False,False,False,False,True,8.200562797008564
4277,5963.0,56,51,129,1,91,3139.0,False,True,False,False,True,False,8.69349667588463
3369,5022.0,37,74,100,1,309,2475.0,False,True,False,False,False,False,8.521782643750045
3734,3986.0,44,80,26,47,0,4848.0,True,False,False,False,False,True,8.290794347381356
4291,6706.0,25,80,17,27,146,4575.0,False,False,True,False,True,False,8.810907036099737
1456,2349.0,21,57,123,25,75,1989.0,False,False,True,False,True,False,7.762170607138205
4567,6943.0,89,59,10,10,0,4329.0,False,False,False,False,False,True,8.845633256340186
660,1443.0,84,37,171,36,60,755.0,False,True,False,False,True,False,7.275172319452771
4993,4231.0,52,70,3,46,0,4338.0,False,False,False,False,False,True,8.350429973538136
1800,2748.0,37,54,102,8,175,1846.0,False,True,False,False,False,False,7.918992488165245
4487,6184.0,90,88,82,62,105,4063.0,False,False,True,False,True,False,8.729882284826589
2027,1749.0,28,63,42,29,86,1938.0,False,False,True,False,True,False,7.4673710669175595
1718,1334.0,84,68,38,53,66,1662.0,False,True,False,False,True,False,7.19668657083435
4996,8452.0,77,100,58,4,184,4556.0,False,False,True,False,False,False,9.042276686928927
3604,4605.0,83,75,152,49,225,3961.0,False,False,True,False,False,False,8.43511508038063
3235,5949.0,64,67,78,69,247,4143.0,False,False,True,False,False,False,8.691146498539675
1454,1301.0,45,62,83,42,92,2244.0,False,False,True,False,True,False,7.171656822768514
3946,3898.0,71,51,80,65,248,2832.0,False,True,False,False,False,False,8.268475388982598
1545,2042.0,48,56,54,34,117,2334.0,False,False,True,False,True,False,7.622174594817622
2193,2217.0,50,92,64,14,0,2484.0,False,False,False,False,False,True,7.704361167910313
3936,9212.0,69,56,92,53,75,3787.0,False,False,True,False,True,False,9.128370809108931
1062,1162.0,75,50,107,1,99,925.0,False,True,False,False,True,False,7.0587581525186645
2985,5431.0,68,82,82,8,194,3381.0,False,False,True,False,False,False,8.600062669238532
3854,7968.0,49,64,93,18,0,3678.0,False,False,False,False,False,True,8.983314293397749
725,1479.0,28,76,152,5,61,1105.0,False,True,False,False,True,False,7.299797366758161
1459,1384.0,64,79,36,67,73,2145.0,False,False,True,False,True,False,7.233455418621439
3567,6405.0,55,39,121,22,225,2794.0,False,True,False,False,False,False,8.764990330169104
1315,1935.0,13,57,74,6,0,1626.0,False,False,False,False,False,True,7.568379267836522
3620,1654.0,71,66,81,27,0,3362.0,False,False,False,False,False,True,7.411556287811163
516,1000.0,34,70,53,37,36,978.0,False,False,True,True,False,False,6.90875477931522
1743,2882.0,72,90,72,35,0,2942.0,True,False,False,False,False,True,7.9665866976384025
2705,1034.0,79,80,155,36,127,2629.0,False,True,False,False,True,False,6.942156705699469
3024,3925.0,22,37,90,61,38,2696.0,False,False,True,True,False,False,8.275376374836407
1569,1157.0,13,87,109,1,131,2192.0,False,False,True,False,True,False,7.05444965813294
3944,2372.0,11,90,51,48,376,3013.0,False,True,False,False,False,False,7.771910256435763
3065,1946.0,76,62,191,67,0,3698.0,False,False,False,False,False,True,7.5740450053721995
1560,2418.0,39,48,37,39,81,1522.0,False,True,False,False,True,False,7.791109510610028
2827,4621.0,13,59,43,3,0,3118.0,False,False,False,False,False,True,8.438582790834326
3920,8736.0,57,43,86,26,254,3184.0,False,True,False,False,False,False,9.075322160298095
801,1048.0,52,65,61,69,23,1111.0,False,False,True,True,False,False,6.955592608396297
4776,8483.0,54,36,67,55,77,3791.0,False,False,True,False,True,False,9.045937315684574
1106,1457.0,22,63,165,3,0,1581.0,False,False,False,False,False,True,7.284820912568604
3670,5248.0,56,79,177,56,0,4876.0,True,False,False,False,False,True,8.5657928612523
1199,2622.0,37,61,60,28,52,2042.0,False,False,True,False,True,False,7.872073979866873
1639,2843.0,46,71,27,43,0,1887.0,False,False,False,False,False,True,7.952966790923131
690,1653.0,37,62,69,30,0,1931.0,False,False,False,False,False,True,7.4109518755836366
2800,3814.0,36,43,96,18,0,2663.0,False,False,False,False,False,True,8.246695943718557
1480,2858.0,39,57,30,5,122,1565.0,False,True,False,False,True,False,7.958227192322312
3475,5969.0,15,68,184,61,38,2385.0,False,True,False,True,False,False,8.694502206386648
1684,1445.0,18,60,126,1,66,2093.0,False,False,True,False,True,False,7.27655640271871
3827,4867.0,15,53,137,64,0,3851.0,True,False,False,False,False,True,8.490438454107418
3894,3644.0,38,33,139,14,127,2490.0,False,True,False,False,True,False,8.201111644442758
627,1000.0,79,38,6,41,48,639.0,False,True,False,True,False,False,6.90875477931522
2565,3839.0,75,99,87,68,0,3175.0,False,False,False,False,False,True,8.253227645581772
2316,4322.0,62,53,155,53,42,2061.0,False,True,False,True,False,False,8.371704884667631
1069,1000.0,79,94,74,31,30,1812.0,False,False,True,True,False,False,6.90875477931522
2395,1684.0,14,46,19,59,178,2994.0,False,False,True,False,False,False,7.429520842786462
3233,1115.0,29,66,119,66,138,2294.0,False,True,False,False,True,False,7.017506142941256
4363,5183.0,21,79,64,37,420,5375.0,False,False,True,False,False,False,8.55333223803211
4514,7293.0,17,74,154,50,11,3408.0,False,False,True,True,False,False,8.894807371368625
3401,4977.0,67,49,143,66,329,2392.0,False,True,False,False,False,False,8.512783482927537
2186,4421.0,58,88,163,14,188,2632.0,False,True,False,False,False,False,8.394347361417392
3509,6046.0,73,88,69,15,135,3350.0,False,False,True,False,True,False,8.707317560273212
654,1000.0,59,40,137,25,63,672.0,False,True,False,False,True,False,6.90875477931522
3037,2487.0,48,84,43,8,0,3519.0,False,False,False,False,False,True,7.81923445385907
1909,2048.0,49,94,146,58,0,2493.0,False,False,False,False,False,True,7.6251071482389
4557,7337.0,40,87,89,56,244,3619.0,False,True,False,False,False,False,8.900821604915228
1284,1571.0,12,73,192,14,0,1899.0,False,False,False,False,False,True,7.360103972989152
3675,5247.0,81,43,73,42,83,2743.0,False,False,True,False,True,False,8.565602330623925
4841,5354.0,39,81,189,13,83,3810.0,False,False,True,False,True,False,8.585785982881848
3306,4357.0,38,63,32,19,0,3055.0,False,False,False,False,False,True,8.379768515504566
1037,1469.0,79,92,164,34,0,1999.0,False,False,False,False,False,True,7.293017679772782
2341,2102.0,65,56,112,46,167,2053.0,False,True,False,False,False,False,7.6511201757027
2955,4553.0,75,41,140,55,138,2094.0,False,True,False,False,True,False,8.423761246623686
1024,1156.0,72,67,101,64,0,1524.0,False,False,False,False,False,True,7.053585727193677
3450,1291.0,39,85,93,57,249,2917.0,False,True,False,False,False,False,7.163946684342547
4631,7413.0,62,94,87,72,166,4105.0,False,False,True,False,False,False,8.911125383710678
4615,4543.0,55,69,97,64,150,4157.0,False,False,True,False,True,False,8.421562960400987
2868,4383.0,18,50,36,5,241,2315.0,False,True,False,False,False,False,8.385716828627851
4347,6980.0,16,61,18,43,308,4568.0,False,False,True,False,False,False,8.850947451970402
4995,6001.0,72,41,65,17,50,3582.0,False,False,True,True,False,False,8.699848026000312
3201,4891.0,56,55,29,46,0,3089.0,False,False,False,False,False,True,8.495356496807062
1471,2236.0,53,65,159,33,0,2246.0,False,False,False,False,False,True,7.71289096149013
1666,2220.0,58,45,160,69,98,1449.0,False,True,False,False,True,False,7.7057128238944275
3274,5231.0,88,63,167,15,195,3647.0,False,False,True,False,False,False,8.562548893137034
2482,3686.0,88,53,142,42,86,2158.0,False,False,True,False,True,False,8.212568398234145
1353,1081.0,71,68,197,15,23,1598.0,False,False,True,True,False,False,6.9865664594064265
4646,9022.0,68,93,99,65,0,4908.0,False,False,False,False,False,True,9.107532151994501
4236,5108.0,87,58,107,63,50,3191.0,False,False,True,True,False,False,8.538758969330798
4269,7308.0,84,60,79,56,0,4245.0,False,False,False,False,False,True,8.896861744480391
1074,1614.0,84,92,84,43,76,1766.0,False,True,False,False,True,False,7.387090235656757
3761,5355.0,22,72,97,70,0,4552.0,True,False,False,False,False,True,8.585972706811063
1648,2333.0,39,48,103,34,15,1522.0,False,False,True,True,False,False,7.755338812846501
2215,2721.0,52,39,117,66,0,1598.0,False,False,False,False,False,True,7.909122183211411
4354,5295.0,60,85,37,69,0,4129.0,False,False,False,False,False,True,8.574707097616844
2991,4851.0,17,89,135,20,0,4281.0,True,False,False,False,False,True,8.48714627006394
3160,6285.0,46,72,75,14,0,3887.0,True,False,False,False,False,True,8.746080217357513
3624,2739.0,73,77,38,68,55,3166.0,False,False,True,False,True,False,7.9157131993821155
3551,5388.0,48,69,59,41,214,2706.0,False,True,False,False,False,False,8.592115117933497
504,1000.0,17,63,187,59,10,891.0,False,False,True,True,False,False,6.90875477931522
1376,2307.0,71,30,108,50,133,2001.0,False,False,True,False,True,False,7.744136627627991
